方剂名称,方剂药物组成,主治,功效,日期,时间,备注：表格中不可出现合并单元格，不可出现特殊字符，否则将导致数据表无法正常展示。数据请填写在有相应列名的下方，无列名的区域内的数据将无法入库。时间格式填写时请选择正确的单元格格式：日期，具体时间格式请按照XXXX/XX/XX XX:XX书写，否则将无法入库。（为保障您上传的数据顺利入库，请选择2007及以上版本的office软件操作）
秘方化滞丸,南木香（坚实者，不见火）2钱半，丁香（去苞，不见火）2钱半，青皮（四花者，去瓤）2钱半，红橘皮（水温去白）2钱半，黄连（大者）2钱半，京三棱（慢火煨）4钱8分，莪术（慢火煨）4钱8分，夏曲（拣白净半夏为末，生姜自然汁和为饼，晒干）2钱5分（前8味晒干，和研为细末），巴豆（去壳，滚汤泡，逐一研开，去心膜，以瓦器盛，用好醋浸过1宿，慢火熬至醋干，称6钱，重为细末，将前药末和再研令匀，入后乌梅肉膏）4钱5分，乌梅（用肉厚者，打碎对核，细锉，火焙干，为细末，称5钱重，用米醋调略清，慢火熬成膏，和入前药）。,停食饱闷，食泻，霍乱，呕吐，痢疾，气痛，小儿疳积。一切气滞积痛。,磨滞，理气，化积，通塞，调阴阳。,2021/5/19,2021/5/19 15:00,
真白汤,木香1分，沉香1分，丁香1分，芎藭半两，蓬莪术（煨）半两，当归（切，焙）半两，芍药（锉）半两，楝实（炒，去核）半两，茴香子（炒）半两，甘草（炙）1两，益智（去皮）半两，陈橘皮（汤浸，去白，焙）半两。,妊娠腹痛，不思饮食。,,2021/5/19,2021/5/19 15:00,
益寿比天膏,牛膝2两5钱，生地2两5钱，杜仲2两5钱，木鳖子2两5钱，虎骨（生）2两5钱，巴戟2两5钱，续断2两5钱，苁蓉2两5钱，生山甲2两5钱，山萸肉2两5钱，远志2两5钱，熟地2两5钱，补骨脂2两5钱，肉果2两5钱，官桂2两5钱，菟丝子2两5钱，紫梢花2两5钱，蛇床子2两5钱，天麻子2两5钱，川楝子2两5钱，甘草5两，海胆1两2钱5分，桑枝7寸，槐枝7寸。,气虚血亏，梦遗滑精，肾寒精冷，腰痠腹痛。,暖丹田，滋肾水，培元补气。,2021/5/19,2021/5/19 15:00,
益阴去邪汤,陈皮1钱半，半夏2钱，茯苓1钱半，甘草1钱，当归2钱，沙参2钱，女贞子2钱，熟地3钱，山药1钱半，生姜1钱半,阴虚脉弱，外感咳嗽，或肾气不足，水泛为痰。,,2021/5/19,2021/5/19 15:00,
益母地黄汤,生地2钱，益母草2钱，当归1钱，黄耆（炒）1钱。,妊娠跌坠，腹痛下血。,,2021/5/19,2021/5/19 15:00,
疰疳丸,生地、熟地、当归、白芍、天冬、知母各等分，鳖甲（醋炙）、山楂减半。,疹后发热成疳。,,2021/5/19,2021/5/19 15:00,
疳劳丸,茶毗处煤7钱，甘草3钱，麝香2分。,疳劳初发，咳嗽盗汗黄瘦。,,2021/5/19,2021/5/19 15:00,
益智散,益智仁（去皮）2两，干姜（炮）半两，青皮（去白）3两，川乌（炮，去皮脐）4两。,伤寒阴盛，心腹痞满，呕吐泄利，手足厥冷；及一切冷气奔冲，心胁脐腹胀满绞痛。,,2021/5/19,2021/5/19 15:00,
益气调荣汤,人参3分，当归2分，陈皮2分，熟地黄2分，白芍4分，升麻2分，黄耆5分，半夏（泡）3分，白术2分，甘草（炙）2分，柴胡2分，麦门冬3分。,中风，肩膊痛久尚未痊愈者。,,2021/5/19,2021/5/19 15:00,
益阴地黄丸,六味地黄丸加当归、北五味。,临经发热，尺部脉弱，阴不足，阳气下陷于阴中。,,2021/5/19,2021/5/19 15:00,
益母草膏,益母草（鲜，干的亦可）480两，川芎48两，白芍48两，当归48两，生地88两，木香16两。,经期不准，血色不正，量少腹胀，产后瘀血腹痛。,调经，祛瘀生新。,2021/5/19,2021/5/19 15:00,
珠黄保生丹,僵蚕（炒）4两，防风4两，花粉4两，钩藤4两，天麻4两，竺黄4两，玄参（去芦）4两，黄芩4两，栀子（炒）4两，桔梗4两，胆星1两5钱，生石膏1两5钱，羌活1两5钱，薄荷1两5钱，牙皂1两，全蝎5钱，甘草4两（前诸药共为细末，每51两5钱细末兑），朱砂1两，冰片1两，羚羊粉1两，犀角粉5钱，牛黄5钱，珍珠（豆腐炙）3钱，麝香3钱（共研细末）。,小儿内热火盛，头痛身烧，咳嗽痰喘，惊风抽搐。,清热退烧，祛风化痰。,2021/5/19,2021/5/19 15:00,
破血金丹,香附10两（醋制），艾叶4两（焙干），当归2两（酒浸1宿，醋煮，焙干），红花1两（焙干），桃仁1两（去皮尖）。,妇女月经不通，腹痛有块者。,,2021/5/19,2021/5/19 15:00,
真珠散,附子2个（一生一炮，各去皮脐），半夏（汤21次洗去滑）1两半，滑石半两，成炼钟乳半两，辰砂3分（另研）。,喜怒不常，忧思兼并，致脏气郁结，留积涎饮，胸腹满闷，或腹(疒丂)痛，憎寒发热，吐利交作。,,2021/5/19,2021/5/19 15:00,
益智子散,益智子1两（去皮），附子3分（炮裂，去皮脐），缩砂3分（去皮），白豆蔻半两（去皮），丁香1分，黄耆3分（锉），白术3分，厚朴3分（去粗皮，淮生姜汁，炙令香熟），人参半两（去芦头），桂心半两，白茯苓半分，陈橘皮3分（汤浸，去白瓤，焙），川芎3分，高良姜3分（锉），藿香3分，当归3分（锉碎，微炒），甘草3分（炙微赤，锉）。,妇人肠胃久虚，气弱多欲呕吐，全不下食，四肢无力。,,2021/5/19,2021/5/19 15:00,
益元散邪汤,当归2-3钱，白芍（煨）1钱半，陈皮1钱，白术3-4钱，熟地3-4钱，山药2钱，甘草（炙）1钱，黄耆（蜜炒）1钱半，麻黄（去节）8分，桂枝1钱，生姜（煨）1钱半。,元气太虚，脉大无力，外感寒邪，憎寒壮热，身痛头痛。或呕恶泄泻。,,2021/5/19,2021/5/19 15:00,
益母毓麟丸,当归4两，熟地4两，党参2两，鹿角霜2两，白术2两，茯苓2两，川断2两，杜仲2两，香附2两，白芍2两，菟丝子2两，川芎1两，川椒1两，甘草1两。,妇人血气俱虚，经水不调，腹痛腰痠，饮食不甘，瘦弱不孕及赤白带下。,,2021/5/19,2021/5/19 15:00,
益气除风汤,黄耆12g，白术9g，当归9g，白芍9g，防风6g，僵蚕6g。,气虚受风之上胞下垂。起病较急，忽然上胞下垂，痒如虫行，头痛，目眩。,补中益气，养血除风。,2021/5/19,2021/5/19 15:00,
真珠散,真珠末1分，马牙消1分，龙齿1分，铅霜半分，寒水石1分，牛黄半分，朱砂半两，太阴玄精1分，麝香半分。,小儿热病，心神狂躁，身热如火，头痛烦渴，眠卧不得。,,2021/5/19,2021/5/19 15:00,
益胃汤,丁香、人参、桂心、阿胶。,小儿胃虚身热，呕吐不止。,,2021/5/19,2021/5/19 15:00,
益胃汤,丁香1两，人参（去芦头）1两，诃黎勒皮1分，官桂半两，大黄（炮黑黄）半两。,胃虚挟热，呕吐不止。,,2021/5/19,2021/5/19 15:00,
益黄散,黄耆2钱，陈皮（去白）1钱，人参1钱，芍药7分，生甘草5分，熟甘草5分，黄连少许。,胃中风热。,,2021/5/19,2021/5/19 15:00,
益黄散,丁香1分，诃子（煨）1分，青皮（去瓤）1分，陈皮（去白）1分，木香1分。,胃冷呕吐，脾虚泄泻，或因疮烦躁，渴饮冷水过多，致伤脾胃。,,2021/5/19,2021/5/19 15:00,
益中汤,丁香半两，草果子3枚（去皮，炒），人参半两，青皮半两，诃黎勒1分，桂心□分。,小儿呕吐泄痢。,,2021/5/19,2021/5/19 15:00,
益中散,白术、茯苓、橘皮、芍药、干姜、甘草各等分。,感寒冷，泄泻腹痛者。,,2021/5/19,2021/5/19 15:00,
秘传抱龙丸,白附子2两（炮），胆星1两（姜；炒），羌活1两，僵蚕1两（炒，去嘴），前胡1两，橘红1两5钱，天竺黄2两，天麻1两（纸包，煨），青皮1两（醋炒），全蝎1两（米炒），黄芩（生）8钱，花粉2两，生黄连5钱，南薄荷1两，真琥珀3钱，盔沉香1钱，抱茯神1两，双钩藤1两。,小儿惊风发搐，咳嗽痰喘，舌赤唇干，口渴便短，手足抽掣，痰涎塞盛，一切惊痫风热。,,2021/5/19,2021/5/19 15:00,
益母丸,益母草40斤（熬成膏约3斤），真龟胶1斤（蛤粉炒），白当归2斤，川芎1斤（俱蒸熟）。,胎动不安，难产，产后血气痛，血晕，血崩虚脱，产后痰多，昏乱不知人事，月经先期或过期，赤白带下，血枯，肉淋，吐血，便血，虚损，阴虚潮热，骨痛，白浊，梦遗，足跟痛，心痛，血虚头痛，腰痛胁胀，气冲胸塞。,,2021/5/19,2021/5/19 15:00,
珠母补益方,珍珠母2两，龙骨1两，酸枣仁3钱，五味子2钱，女贞子5钱，熟地5钱、白芍4钱。,心肝肾虚损诸证。失眠证，阴虚阳亢的高血压，阴虚火旺头痛证，癫痫病，诸痛证，瘿瘤病，瘰疬病，肝虚血少的肝炎病，盗汗证，肾虚证。,育阴潜阳，养血宁神，益肾固精。,2021/5/19,2021/5/19 15:00,
狼毒丸,狼毒3分，附子1个（炮），川椒（出汗）4分，巴豆（去皮）4分。,腹中有热胀满，不思饮食，大小便不利，及苦腹痛癖，便脓血下重，丁奚腹痛，脱肛，胁下有痞。,消痞下食。,2021/5/19,2021/5/19 15:00,
益肾调经汤,杜仲3钱，续断3钱，熟地3钱，当归2钱，白芍（炒）3钱，益母草4钱，焦艾3钱，巴戟3钱，乌药3钱。,肾虚，经来色淡而多，经后腹痛腰痠，肢软无力，脉沉弦无力。,温肾调经。,2021/5/19,2021/5/19 15:00,
益寿固元膏,熟地9两，杜仲3两，枣仁1两8钱，五味子3两，虎骨6两，远志1两8钱，吴萸3两，首乌3两，麦冬3两，茜草1两8钱，地骨皮3两，淫羊藿3两，艾叶2两4钱，黄耆3两，补骨脂3两，枸杞子3两，巴戟3两，附子3两6钱，肉苁蓉3两，当归9两，牛膝1两8钱，覆盆子3两，龟版6两，狗脊3两。,男子气虚，梦遗滑精，偏坠疝气。妇女血寒腹痛，白带，腰腿疼痛。,补肾散寒，固精止痛。,2021/5/19,2021/5/19 15:00,
珠荟散,真芦荟5分，龙脑薄荷叶5分，珍珠4分（研至无声），真青黛3分，官硼砂2分，大冰片5厘，儿茶5分。,小儿五疳积，发热，牙疳并花后牙疮。,,2021/5/19,2021/5/19 15:00,
益容丸,使君子（取肉，锉碎，焙干）2钱，厚朴（去粗皮，米泔浸）2钱，芎藭2钱，橘红2钱，甘草2钱。,小儿五伤羸瘦，发热白黄，或脾虚减食，泄泻无时，腹痛。,,2021/5/19,2021/5/19 15:00,
益气时症丸,藿香叶1两5钱，橘皮6钱，香薷6钱，厚朴（制）6钱，砂仁6钱，泽泻6钱，于术6钱，苏叶6钱，木瓜6钱，苍术（炒）4钱，檀香4钱，法半夏8钱，茯苓8钱，扁豆8钱，滑石8钱。,夏令感受暑邪，发烧发冷，头痛眩晕，内伤饮食，呕吐作泄，肚腹疼痛。,扶正气，扶暑湿，理胃肠。,2021/5/19,2021/5/19 15:00,
益气补肺汤,阿胶2钱（蛤粉炒），五味子5分，地骨皮2钱，天冬2钱，麦冬2钱，人参2钱3钱，百合3钱，贝母2钱，茯苓2钱，苡仁4钱。,肺劳。肺气大虚，身热气短，口燥咽干，甚则咳嗽吐血。,,2021/5/19,2021/5/19 15:00,
益气补肾汤,人参1钱2分，黄耆（蜜炙）1钱2分，白术2钱，白茯苓1钱，甘草（炙）5分，山药1钱半，山茱萸肉1钱半。,淫欲过度，肾家不能纳气归元，使诸气逆奔而上，头痛眩晕。,,2021/5/19,2021/5/19 15:00,
益元散,桂府腻白滑石6两，甘草1两（炙）。,身热，吐利泄泻，肠澼，下痢赤白，癃闭淋痛，石淋，肠胃中积聚寒热，心躁，腹胀痛闷；内伤阴痿，五劳七伤，一切虚损，痫痉，惊悸，健忘，烦满短气，脏伤咳嗽，饮食不下，肌肉疼痛；并口疮牙齿疳蚀，百药酒食邪毒，中外诸邪所伤，中暑、伤寒、疫疠，饥饱劳损，忧愁思虑，恚怒惊恐传染，并汗后遗热劳复诸疾；产后血衰，阴虚热甚，一切热证，兼吹奶乳痈。,利小便，宣积气，通九窍六腑，生津液，去留结，消蓄水，止渴宽中，补益五脏，大养脾肾之气，安魂定魄，明耳目，壮筋骨，通经脉，和血气，消水谷，保元，下乳催生；久服强志轻身，驻颜延寿。,2021/5/19,2021/5/19 15:00,
秘传神效红丸子,巴豆49粒（去壳心膜及油，存性，炒热，于银石器内，慢火熬令黄色，乳细，以纸包压去尽油，细研，冬月少去油），杏仁15粒（须是真者，去皮尖，蒸，纸裹，去油，和巴豆同再研），木香3钱半（慢晒，勿见火），沉香1钱半，滴乳香3钱（为细末），槐花1钱半（为细末）。,肠胃虚弱，内受风寒，或饮食生冷，伤于脾胃，呕吐泄泻，脐腹疼痛，胁肋胀满，肠内虚鸣，积痢赤白，并酒积痢。,,2021/5/19,2021/5/19 15:00,
秘传茴香汤,苍术1斤半，甘草（炙）12两，茴香（炒）1斤半，干姜12两，盐7两（后和药再碾）。,男子小肠心腹痛，下元久冷；妇人血气刺痛；小儿脾疳泄泻。,,2021/5/19,2021/5/19 15:00,
热六合汤,四物汤加黄连、栀子。,发热而烦，不能睡卧者。,,2021/5/19,2021/5/19 15:00,
热郁汤,连翘4钱，薄荷叶1钱5分，黄芩1钱5分，山栀仁2钱，麦门冬（去心）3钱，甘草5分，郁金1钱，瓜蒌皮瓤2钱，竹叶7片。,郁热，非阴虚、非阳陷，亦不发热，而常自蒸蒸不解者。肺因壅热生风，在外风适与之相袭，症见声重鼻塞，咳嗽咽干音哑。,,2021/5/19,2021/5/19 15:00,
热逆汤,黄芩1钱，栀子1钱，柿蒂1钱，陈皮1钱，香附（盐水炒）1钱，连翘1钱，白芍药1钱，半夏1钱，砂仁6分，藿香6分，甘草3分。,热呃。发热烦渴，便秘脉数。,,2021/5/19,2021/5/19 15:00,
益金散风汤,人参5分，甘草1钱，五味子3粒，麦冬3钱，紫苏1钱，蔓荆子1钱，天花粉1钱，桔梗3钱。,气虚伤风头痛，发热盗汗，畏风。,补肺气，表风邪。,2021/5/19,2021/5/19 15:00,
疳症仙丹,雄黄3钱，麝香5分，胆星2钱，全蝎（炙，炒，去足）1钱，僵蚕（炒）1钱，朱砂（水飞，为衣）2钱，巴豆（去油）5钱。,小儿肚大，黄瘦，腹痛，虫积。,,2021/5/19,2021/5/19 15:00,
益气开痰汤,淮耆（炙）1钱，玉竹（炙）1钱半，白术1钱，当归1钱半，半夏1钱，羊藿1钱半，胆星1钱，茯神1钱半，石膏1钱，枣仁1钱，槟榔1钱，甘草4分。,酒伤腹痛，发叫如狂，人事不知，四肢痛搐，口流涎沫。,,2021/5/19,2021/5/19 15:00,
秘传枳术二陈汤,白术（消洗，锉，土炒）1钱，黑枳实（麸炒）8分，陈皮（去白）8分，茯苓（去粗皮）1钱，香附子（童便浸，炒）1钱，半夏（汤泡7次）1钱，黄连（姜汁炒），槟榔（鸡心者）5分，白豆蔻5分，青皮（麸炒）3分，吴茱萸3分，生甘草3分。,痰气食膈，呕吐痰涎，翻胃嘈杂。,,2021/5/19,2021/5/19 15:00,
秘传祛风散,羌活、独活、山栀、半夏、苍术、苍耳子、甘草、茯苓、陈皮、当归、生地黄、防风、荆芥、汉防己、白芍药、牙皂、威灵仙各等分。,中风。,,2021/5/19,2021/5/19 15:00,
秘传乌鸡丸,熟地3两，白术3两，川芎3两，白芍3两，厚朴3两，香附3两，甘草3两，人参2两，砂仁2两，海金砂4两。,妇人25-26岁，血海虚冷，气血俱虚，经脉不调，或时腹痛，或下白带如脑髓流，或如米泔，不分信期，每来淋沥不止，面色痿黄，四肢无力，头晕目眩眼花。,,2021/5/19,2021/5/19 15:00,
益肺丹,人参3钱，白术3钱，当归3钱，麦冬5钱，北五味3分，柴胡5分，荆芥5分，山药3钱，芡实3钱。,多言伤气，咳嗽吐痰，久则气怯，肺中生热，短气嗜卧，不进饮食，骨脊拘急，疼痛发痠，梦遗精滑，潮热汗出，脚膝无力。,,2021/5/19,2021/5/19 15:00,
益肺散,麻黄（去节）1两，五味子半两，杏仁（去皮尖，炒）半两，甘草（炙）半两，陈皮半两。,肺寒咳嗽，声重多涕，发喘。,,2021/5/19,2021/5/19 15:00,
破积散,香附米4两（醋浸煮干），栀子仁（炒黑）2两，三棱1两，莪术1两，郁金1两，枳壳1两，黄连1两，大黄1两。,心气痛，食积肚腹痛，饮热积块痛，症属实热者。,,2021/5/19,2021/5/19 15:00,
破假汤,人参3钱，白术5钱，陈皮1钱，神曲5分，柴胡2钱，山楂10粒，甘草5分，白芍5钱，鳖甲3钱，石膏1钱，半夏1钱。,春月伤风8-9日，如疟之状，发热恶寒，热多寒少，口不呕吐。,,2021/5/19,2021/5/19 15:00,
益阴肾气丸,熟地（自制杵膏）、山药、萸肉、丹皮、茯苓、泽泻、五味、当归、生地（酒拌杵膏）。,诸脏亏损，发热哺热，潮热盗汗；或寒热往来，五心烦热；或口干作渴，月经不调；或筋骨痠倦，饮食少思；或头目不清，痰气上壅，咳嗽晡甚，胸膈痞闷；或小便赤数，两足热痛；或脚足痿软，肢体作痛。,,2021/5/19,2021/5/19 15:00,
益阴养荣膏,蜜刺海参8两，大淡菜8两，建莲肉8两，南枣8两。,童子痨。初起发热咳嗽，阴虚盗汗，脾胃不香，遗精咯血。,,2021/5/19,2021/5/19 15:00,
珠母散,陈蚌壳（煅）2钱，儿茶2钱，轻粉2钱，飞滑石2钱，人中白（煅）2钱，煅龙骨1钱，枯矾1钱，冰片3分。,妇人阴痒，甚者令人发热如劳。,,2021/5/19,2021/5/19 15:00,
秘传刮金丹,丁香、木香、藿香、当归、人参（去芦）、白茯苓（去皮）、官桂（去皮）、大黄、白术、干姜（炮）、桔梗、苁蓉（酒浸）、柴胡（去芦）、槟榔、黄连（去芦）、防风（去芦）、陈皮、车前子、吴茱萸、皂角（去皮弦，醋炙）、天门冬、川乌（炮）、砂仁、肉豆蔻（炮）、黄耆、防己、鳖甲（醋炙）、羌活、紫菀、川椒（去目）、巴豆（去皮心，炒）、蓬莪术、熟地黄、厚朴（姜制）、川芎、香附子、石菖蒲（酒浸）、麝香少许、小茴香各等分，甘草少许。,伤寒恶寒发热，头痛，腹胀，伤寒结胸，破伤风，瘫痪，眼歪斜，寒湿脚气，喘嗽，水肿，痔漏脱肛，痢疾。,,2021/5/19,2021/5/19 15:00,
秘方立效散,春茶。,气虚头痛。,,2021/5/19,2021/5/19 15:00,
疳积饼,青皮（去瓤）5钱，陈皮5钱，山楂肉5钱，神曲（炒）5钱，麦芽（炒）5钱，砂仁（炒）4钱，白术（去芦）6钱，三棱（煨）5钱，莪术（煨）5钱，木香5钱，槟榔4钱，甘草（炙）4钱，小茴（炒）3钱，史君子（去壳）2两，川楝子（酒蒸去核）3钱，肉豆蔻（煨）4钱，诃子（去核）4钱，夜明砂（炒）3钱（另研），干蟾蜍1大个，川黄连（去毛净）6钱（清水浸，取汁和药末）。,小儿五疳诸积，肚大青筋，面黄肌瘦，饮食少进，或泻、或痢、或腹痛。,,2021/5/19,2021/5/19 15:00,
疳积散,茯苓（去皮）2两，海螵蛸1两，槟榔5钱，鹤虱5钱，雷丸5钱，三棱（醋制）5钱，莪术（醋制）5钱，红花3钱，炒鸡内金5钱，使君子肉5钱。,食积、疳积，蛔虫、蛲虫、寸白虫、一切肠胃寄生虫，腹胀腹痛，面黄肌瘦，消化不良。,杀虫消积。,2021/5/19,2021/5/19 15:00,
秘传补脾汤,白术1钱2分，黄耆（蜜炙）5分，当归（酒洗）5分，川芎5分，人参5分，陈皮5分，肉豆蔻（煨）5分，神曲（炒）5分，干葛5分，白芍药1钱（酒炒），白茯苓7分，半夏7分，黄连（炒）4分，甘草（炙）4分。,小儿脾经不足，土败木来侮，目睛微动摇，微惊搐；或潮热往来，脾胃有伤，饮食少进；或泄漏呕吐，面色黄，脉无力。,补脾胃。,2021/5/19,2021/5/19 15:00,
破逆化斑汤,山楂、丹参、荷鼻、苏木、紫草。,痘疮逆血发斑；及儿受跌扑责打，发热之极，脐下发棱角斑者。,,2021/5/19,2021/5/19 15:00,
破根散,南星5分，冰片少许。,中风团证，口噤不开。,,2021/5/19,2021/5/19 15:00,
破积丸,木香1两，青橘皮（汤浸，去白，焙）1两，桂（去粗皮）1两，吴茱萸（汤洗，焙干，炒）3两，硇炒（醋熬成霜，研末）1钱匕，巴豆霜半钱匕。,小儿哺露，疳气腹满，发热。,化肠胃食滞。,2021/5/19,2021/5/19 15:00,
破癥瘕散,当归1钱，生地1钱，白芍（炒）1钱，川芎7分，黄连（炒）5分，黄连3分。,癥瘕血虚，五心烦热，昼则平安，夜则发热。,,2021/5/19,2021/5/19 15:00,
离中丹,生石膏2两（细末），甘草6钱（细末），朱砂末1钱半。,肺病发热，咳吐脓血；暴发眼疾，红肿作痛，头痛齿痛，一切上焦实热之症。,,2021/5/19,2021/5/19 15:00,
盐煎散,草果仁（去皮，煨）2两，缩砂（去壳，取仁）2两，槟榔（炮，锉）2两，厚朴（去粗皮）2两，肉豆蔻（煨）2两，羌活（去芦）2两，苍术（米泔浸2宿）2两，陈皮（去白）2两，荜澄茄2两，枳壳（去瓤，麸炒）2两，良姜（油炒）2两，茯苓（去皮）2两，大麦芽（炒）2两，茴香（炒）2两，川芎（洗，锉）2两，甘草（爁）2两。,男子、妇人一切冷气，攻冲胸胁，及前后心连背膂疼痛，转项拘急；或脾胃虚冷，不思饮食，时发呕吐，霍乱转筋，脐腹冷疼，泄泻不止，及膀胱成阵刺痛，小肠气吊，内外肾疼。,,2021/5/19,2021/5/19 15:00,
盐煎散,良姜（炒）12两，苍术（去皮）12两，缩砂（去皮）5两，茴香（炒）5两，肉桂（去粗皮，不见火）2两，丁皮2两，橘红10两，甘草（炒）6两，青皮（去白）4两，山药半斤。,男子、妇人一切冷气，攻冲胸胁，及前后心连背膂疼痛，转项拘急；或脾胃虚冷，不思饮食，时发呕吐，霍乱转筋，脐腹冷疼，泄泻不止；及膀胱成阵刺痛，小肠气吊，内外肾疼。,,2021/5/19,2021/5/19 15:00,
秘方枳壳汤,枳壳1两（麸炒黄色），黄连2两（以槐花4两同炒，去槐花不用）。,大便肠风下血。膏粱厚味，致热积腹痛。,,2021/5/19,2021/5/19 15:00,
真珠丸,真珠末半两，白附子半两（未），天南星半两（炮裂），滑石末1分，腻粉1分，巴豆30枚（去皮，水浸3日，取出晒干，研如膏）。,小儿急惊风，多发搐搦，或夹食腹痛，面色变青，或大小便不通。,,2021/5/19,2021/5/19 15:00,
真珠丸,真珠末1两半，獭肝（炙干）1两半，茯神（去木）1两半，贝母（去心）1两半，柴胡（去苗）1两半，龙胆1两半，黄连（去须）1两半，赤芍药1两半，白槟榔（煨、锉）1两，旋覆花1两。,传尸骨蒸，咳嗽上气，痰喘寒热，四肢瘦弱。,,2021/5/19,2021/5/19 15:00,
真珠丸,真珠末半两，白术半两，朱砂（别研，一半入药，一半为衣），白茯苓（去皮）半两，人参（去芦头）1两，麝香（另研）1钱，脑子（别研）1钱。,心气不足，及上焦有热，涎壅上盛，睡卧不宁，身体发热，口燥咽干。,,2021/5/19,2021/5/19 15:00,
